Open_time,open,high,low,close,volume
2018-01-01,13715.65,13818.55,12750.00,13380.00,8609.92
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.09
2018-01-03,14690.00,15307.56,14150.00,14919.51,15905.67
2018-01-04,14919.51,15280.00,13918.04,15059.54,21329.65
2018-01-05,15059.56,17176.24,14600.00,16960.39,23251.49
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.46
2018-01-07,17069.79,17099.96,15610.00,16150.03,12493.13
2018-01-08,16218.85,16322.30,12812.00,14902.54,26600.61
2018-01-09,14902.54,15500.00,14011.05,14400.00,14315.00
2018-01-10,14401.00,14955.66,13131.31,14907.09,17411.00
2018-01-11,14940.00,14968.68,11400.00,13238.78,33554.72
2018-01-12,13238.76,14109.78,12500.00,13740.01,16417.16
2018-01-13,13749.95,14580.00,13706.15,14210.00,12221.51
2018-01-14,14210.00,14339.50,12569.20,13474.99,17017.89
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.09
2018-01-16,13500.00,13542.93,9035.00,10900.00,63401.17
2018-01-17,10899.99,11680.99,9037.94,10988.79,72331.80
2018-01-18,10972.59,11878.82,10435.33,10961.97,48464.43
2018-01-19,10960.00,11795.00,10360.00,11474.98,34129.38
2018-01-20,11474.98,13099.00,11412.45,12799.94,28768.86
2018-01-21,12799.80,12799.80,10965.00,11530.00,41379.77
2018-01-22,11530.00,11926.35,9900.24,10760.05,43752.61
2018-01-23,10760.05,11399.00,9905.00,10799.18,37473.92
2018-01-24,10799.14,11570.48,10500.00,11349.99,27158.59
2018-01-25,11349.96,11794.05,10950.21,11175.27,20839.95
2018-01-26,11184.70,11643.00,10311.15,11089.00,33056.87
2018-01-27,11089.00,11650.00,10842.69,11491.00,18860.77
2018-01-28,11499.98,12244.00,11408.00,11879.95,16887.34
2018-01-29,11879.95,11975.02,11139.55,11251.00,14170.38
2018-01-30,11250.11,11308.42,9900.00,10237.51,25554.37
2018-01-31,10230.00,10425.85,9700.00,10285.10,18015.96
2018-02-01,10285.10,10335.00,8750.99,9224.52,33564.76
2018-02-02,9224.52,9250.00,8010.02,8873.03,49971.63
2018-02-03,8873.03,9473.01,8229.00,9199.96,28725.00
2018-02-04,9199.96,9368.00,7930.00,8184.81,32014.31
2018-02-05,8179.99,8382.80,6625.00,6939.99,63403.18
2018-02-06,6939.63,7878.00,6000.01,7652.14,100201.50
2018-02-07,7655.02,8476.00,7150.01,7599.00,60778.46
2018-02-08,7599.00,7844.00,7572.09,7784.02,1521.54
2018-02-09,7789.90,8738.00,7789.90,8683.92,20482.91
2018-02-10,8683.93,9065.78,8120.00,8533.98,49381.51
2018-02-11,8533.99,8549.00,7726.53,8063.88,45025.19
2018-02-12,8063.82,8989.00,8053.00,8903.00,41987.85
2018-02-13,8903.00,8950.00,8351.00,8539.90,35454.97
2018-02-14,8535.17,9489.60,8533.00,9449.99,40811.95
2018-02-15,9449.98,10219.50,9301.50,10000.09,52427.60
2018-02-16,10000.89,10323.37,9666.00,10159.98,38161.21
2018-02-17,10156.07,11075.07,10050.00,11039.55,41882.11
2018-02-18,11039.55,11274.00,10080.00,10383.43,61137.38
